F1_macro,activation_f,batch_size,dropout,hidden_size,lr,num_layers,opt,preprocessing,selected_features,type
0.6924,relu,512,0.5,1024,0.01,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7434,relu,512,0.0,256,0.0001,5,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.783,relu,1024,0.2,1024,0.001,4,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.708,sigmoid,256,0.2,64,0.01,2,adam,log,"n_flows,n_packets,n_bytes",MLP
0.5993,sigmoid,512,0.2,1024,0.0001,5,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7176,sigmoid,256,0.2,128,0.001,2,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6927,sigmoid,1024,0.0,128,0.0001,1,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6996,sigmoid,256,0.5,1024,0.0001,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7347,relu,512,0.5,1024,0.01,4,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.592,sigmoid,512,0.2,256,0.0001,2,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7315,sigmoid,512,0.2,64,0.001,3,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.3122,sigmoid,512,0.5,1024,0.01,4,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6842,relu,1024,0.2,512,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7152,relu,512,0.2,256,0.0001,1,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7153,relu,256,0.5,1024,0.001,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6773,relu,256,0.0,512,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7074,sigmoid,1024,0.5,512,0.01,3,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7709,relu,512,0.2,512,0.001,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7415,relu,256,0.5,256,0.0001,4,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7454,relu,1024,0.5,128,0.0001,5,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7248,relu,1024,0.2,128,0.01,2,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7091,sigmoid,512,0.0,128,0.01,3,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7014,relu,512,0.2,64,0.01,5,adam,log,"n_flows,n_packets,n_bytes",MLP
0.6238,sigmoid,256,0.5,64,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7058,relu,512,0.5,64,0.0001,1,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6742,sigmoid,256,0.0,128,0.01,1,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.717,sigmoid,256,0.2,64,0.001,4,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6573,relu,256,0.5,1024,0.01,3,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.6677,relu,256,0.2,256,0.01,1,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6227,sigmoid,512,0.2,256,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7256,relu,1024,0.0,256,0.001,3,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7142,relu,1024,0.0,64,0.01,4,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.5781,relu,256,0.2,128,0.0001,1,adam,z_score,"n_flows,n_packets,n_bytes",MLP
